GEO2010,school_present_2000,school_present_2001,school_present_2002,school_present_2003,school_present_2004,school_present_2005,school_present_2006,school_present_2007,school_present_2008,school_present_2009,school_present_2010,school_present_2011,school_present_2012,school_present_2013,dcps_present_2000,dcps_present_2001,dcps_present_2002,dcps_present_2003,dcps_present_2004,dcps_present_2005,dcps_present_2006,dcps_present_2007,dcps_present_2008,dcps_present_2009,dcps_present_2010,dcps_present_2011,dcps_present_2012,dcps_present_2013,charter_present_2000,charter_present_2001,charter_present_2002,charter_present_2003,charter_present_2004,charter_present_2005,charter_present_2006,charter_present_2007,charter_present_2008,charter_present_2009,charter_present_2010,charter_present_2011,charter_present_2012,charter_present_2013,aud_2001,aud_2002,aud_2003,aud_2004,aud_2005,aud_2006,aud_2007,aud_2008,aud_2009,aud_2010,aud_2011,aud_2012,aud_2013,aud_dcps_2001,aud_dcps_2002,aud_dcps_2003,aud_dcps_2004,aud_dcps_2005,aud_dcps_2006,aud_dcps_2007,aud_dcps_2008,aud_dcps_2009,aud_dcps_2010,aud_dcps_2011,aud_dcps_2012,aud_dcps_2013,aud_charter_2001,aud_charter_2002,aud_charter_2003,aud_charter_2004,aud_charter_2005,aud_charter_2006,aud_charter_2007,aud_charter_2008,aud_charter_2009,aud_charter_2010,aud_charter_2011,aud_charter_2012,aud_charter_2013
Tract 76.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 77.03,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,553,642,700,699,642,585,329,561,604,621,688,645,637,398,417,402,378,318,258,0,232,267,280,348,304,295,155,225,298,321,324,327,329,329,337,341,340,341,342
Tract 77.07,1,1,1,1,1,1,2,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,386,338,321,263,294,323,269,285,277,180,184,178,0,386,338,321,263,294,287,269,227,199,180,184,178,0,0,0,0,0,0,36,0,58,78,0,0,0,0
Tract 77.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 77.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 78.03,2,2,2,2,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,969,1198,1328,1421,1432,1489,1601,1493,1435,1451,1352,1322,1204,269,266,240,228,205,210,186,227,216,220,242,282,290,700,932,1088,1193,1227,1279,1415,1266,1219,1231,1110,1040,914
Tract 78.04,2,2,2,2,3,3,3,3,3,3,3,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1115,1090,1059,1553,1571,1456,1250,1321,1319,1233,597,605,760,517,487,453,935,960,854,661,712,713,672,597,605,760,598,603,606,618,611,602,589,609,606,561,0,0,0
Tract 78.06,4,4,3,3,3,3,3,3,4,4,4,3,3,2,2,2,2,2,2,2,2,2,3,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1030,975,1096,1004,898,966,1005,1311,1147,993,812,740,473,785,749,757,637,496,557,551,838,679,604,453,442,274,245,226,339,367,402,409,454,473,468,389,359,298,199
Tract 78.07,4,4,4,4,4,4,4,4,3,2,2,3,3,3,4,4,4,4,4,4,4,4,3,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552,1623,1460,1426,1451,1601,1577,1039,506,540,1359,1231,1284,1552,1623,1460,1426,1451,1601,1577,1039,506,540,1359,1231,1284,0,0,0,0,0,0,0,0,0,0,0,0,0
Tract 78.08,1,1,1,2,2,2,1,1,2,2,2,3,4,4,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,321,259,444,326,388,161,187,390,416,486,1108,1205,1216,321,259,444,250,270,0,0,0,0,0,0,0,0,0,0,0,76,118,161,187,390,416,486,1108,1205,1216
