proj_name,cluster_tr2000_name,ward2012,total_subsidized_units
"Fort Chaplin Park","River Terrace, Benning, Greenway, Dupont Park","Ward 7",549
"Capitol Gateway Townhomes","Capitol View, Marshall Heights, Benning Heights","Ward 7",51
"Greenway Apts (Meadow Green Courts)","River Terrace, Benning, Greenway, Dupont Park","Ward 7",470
"Robert Walls Senior Building","River Terrace, Benning, Greenway, Dupont Park","Ward 7",47
"Stoneridge Apts II","River Terrace, Benning, Greenway, Dupont Park","Ward 7",46
"Lincoln Heights","Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights","Ward 7",440
"Pollin Memorial","Mayfair, Hillbrook, Mahaning Heights","Ward 7",42
"Willis Paul Greene Manor (Marshall Heights Community Dev)","Mayfair, Hillbrook, Mahaning Heights","Ward 7",40
"501 32nd St","River Terrace, Benning, Greenway, Dupont Park","Ward 7",4
"Banneker Place Apts","River Terrace, Benning, Greenway, Dupont Park","Ward 7",348
"Capitol View Plaza Phase II","Capitol View, Marshall Heights, Benning Heights","Ward 7",299
"Kenilworth Courts","Eastland Gardens, Kenilworth","Ward 7",290
"Benning Terrace","Capitol View, Marshall Heights, Benning Heights","Ward 7",274
"El Presidente Apts (Cooperative)","Capitol View, Marshall Heights, Benning Heights","Ward 7",27
"Paradise Manor (Paradise at Parkside)","Mayfair, Hillbrook, Mahaning Heights","Ward 7",261
"Stoneridge I","River Terrace, Benning, Greenway, Dupont Park","Ward 7",22
"Huntwood Apts (Huntwood Courts)","Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights","Ward 7",214
"Independence Place (So Other Might Eat)","Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont","Ward 7",21
"Greenway Gardens (WDC I) (Sr Management)","River Terrace, Benning, Greenway, Dupont Park","Ward 7",202
"The Villager","Fairfax Village, Naylor Gardens, Hillcrest, Summit Park","Ward 7",20
"CEMI - Bethune House","Capitol View, Marshall Heights, Benning Heights","Ward 7",20
"Benning Park Terrace","Capitol View, Marshall Heights, Benning Heights","Ward 7",193
"Richardson Dwellings","Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights","Ward 7",190
"Kenilworth Avenue Apts","Mayfair, Hillbrook, Mahaning Heights","Ward 7",172
"Mayfair Mansions (Phase II)","Mayfair, Hillbrook, Mahaning Heights","Ward 7",160
"A Street Manor Cooperative","Capitol View, Marshall Heights, Benning Heights","Ward 7",16
"Stoddert Terrace","River Terrace, Benning, Greenway, Dupont Park","Ward 7",158
"Elsinore Courtyards (Dhaka House)","Capitol View, Marshall Heights, Benning Heights","Ward 7",152
"Capitol Gateway Senior Estates","Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights","Ward 7",152
"4400 Hunt Pl NE","Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights","Ward 7",15
"Benning Heights","Capitol View, Marshall Heights, Benning Heights","Ward 7",148
Parkside,"Eastland Gardens, Kenilworth","Ward 7",132
"4540 Benning Rd SE","Capitol View, Marshall Heights, Benning Heights","Ward 7",13
"Ft. Dupont Dwellings & Addition","River Terrace, Benning, Greenway, Dupont Park","Ward 7",123
"George Washington Carver Senior Apts","Capitol View, Marshall Heights, Benning Heights","Ward 7",104
"Triangle View","River Terrace, Benning, Greenway, Dupont Park","Ward 7",100
"Tap Program - Ridge Rd","River Terrace, Benning, Greenway, Dupont Park","Ward 7",10
"Congress Heights PUD","Douglas, Shipley Terrace","Ward 8",0
"Geraldine Apts","Congress Heights, Bellevue, Washington Highlands","Ward 8",0
